CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
205902102,GREGORY-PORTLAN,CLARK ELEM.,5,INDEPENDENT,2250 MEMORIAL PKWY,PORTLAND,78374-2099,17.0,86.0,60.0,41.0
205902103,GREGORY-PORTLAN,EAST CLIFF ELEM,5,INDEPENDENT,1140 BROADWAY,PORTLAND,78374-1399,6.0,90.0,76.0,58.0
205902104,GREGORY-PORTLAN,ANDREWS ELEM.,5,INDEPENDENT,4015 MOORE AVE,PORTLAND,78374-2023,17.0,75.0,46.0,26.0
205903103,INGLESIDE ISD,BLASCHKE-SHELDO,5,INDEPENDENT,2624 MUSTANG DR,INGLESIDE,78362-1313,36.0,133.0,84.0,45.0
205904102,MATHIS ISD,MATHIS INTERMED,5,INDEPENDENT,410 E SAN PATRICIO AVE,MATHIS,78368-2698,16.0,106.0,64.0,27.0
205905101,ODEM-EDROY ISD,ODEM INTERMEDIA,5,INDEPENDENT,1 OWL SQUARE,ODEM,78370,25.0,36.0,20.0,11.0
205906105,SINTON ISD,SINTON ELEM.,5,INDEPENDENT,200 S BOWIE AVE,SINTON,78387,45.0,113.0,58.0,32.0
205907101,TAFT ISD,WOODROE PETTY E,5,INDEPENDENT,401 PEACH STREEET,TAFT,78390-3016,21.0,44.0,14.0,5.0
206901041,SAN SABA ISD,SAN SABA M.S.,5,INDEPENDENT,808 W WALLACE,SAN SABA,76877-3523,16.0,38.0,16.0,7.0
206902001,RICHLAND SPRING,RICHLAND SPRING,5,INDEPENDENT,700 W COYOTE TRL,RICHLAND SPRINGS,76871-1005,1.0,7.0,4.0,3.0
206903001,CHEROKEE ISD,CHEROKEE SCHOOL,5,INDEPENDENT,305 S INDIAN AVE,CHEROKEE,76832-0100,1.0,5.0,5.0,3.0
207901041,SCHLEICHER ISD,ELDORADO M.S.,5,INDEPENDENT,206 W AVE,ELDORADO,76936-1247,7.0,40.0,20.0,11.0
208901001,HERMLEIGH ISD,HERMLEIGH SCHOO,5,INDEPENDENT,8010 BUSINESS 84H,HERMLEIGH,79526,3.0,10.0,4.0,2.0
208902110,SNYDER ISD,SNYDER INTERMED,5,INDEPENDENT,3600 EL PASO ST,SNYDER,79549,37.0,161.0,105.0,69.0
208903001,IRA ISD,IRA SCHOOL,5,INDEPENDENT,6190 W FM 1606,IRA,79527-0240,0.0,21.0,14.0,9.0
209901101,ALBANY ISD,NANCY SMITH ELE,5,INDEPENDENT,741 GRIFFIN RD,ALBANY,76430,10.0,22.0,10.0,4.0
209902001,MORAN ISD,MORAN SCHOOL,5,INDEPENDENT,900 MAIN AVE,MORAN,76464-0098,5.0,4.0,1.0,0.0
210901102,CENTER ISD,CENTER INTERMED,5,INDEPENDENT,624 MALONE DR,CENTER,75935-4099,24.0,147.0,73.0,35.0
210902102,JOAQUIN ISD,JOAQUIN ELEM.,5,INDEPENDENT,120 SOUTHERN AVE,JOAQUIN,75954,6.0,44.0,30.0,19.0
210903002,SHELBYVILLE ISD,SHELBYVILLE SCH,5,INDEPENDENT,343 FM 417 W,SHELBYVILLE,75973-0325,1.0,66.0,49.0,31.0
210904002,TENAHA ISD,TENAHA SCHOOLS,5,INDEPENDENT,138 COLLEGE ST,TENAHA,75974-0318,3.0,36.0,24.0,16.0
210905001,TIMPSON ISD,TIMPSON SCHOOL,5,INDEPENDENT,836 BEAR DR,TIMPSON,75975-0370,9.0,40.0,17.0,6.0
210906101,EXCELSIOR ISD,EXCELSIOR ELEM.,5,INDEPENDENT,11270 ST HWY 7 W,CENTER,75935-5304,0.0,12.0,5.0,3.0
211902041,STRATFORD ISD,STRATFORD JR.H.,5,INDEPENDENT,503 N 8TH ST,STRATFORD,79084-0108,17.0,20.0,8.0,5.0
212801101,CUMBERLAND ACAD,CUMBERLAND ACAD,5,CHARTER,1340 SHILOH RD,TYLER,75703,13.0,83.0,47.0,23.0
212801102,CUMBERLAND ACAD,THE LEADERSHIP,5,CHARTER,6720 OAK HILL BLVD,TYLER,75703,1.0,8.0,5.0,3.0
212804001,UT TYLER UNIVER,UT TYLER UNIVER,5,CHARTER,3900 UNIVERSITY BLVD,TYLER,75799,2.0,20.0,11.0,8.0
212804102,UT TYLER UNIVER,UT TYLER UNIVER,5,CHARTER,3201 N EASTMAN RD,LONGVIEW,75705,4.0,21.0,14.0,9.0
212804103,UT TYLER UNIVER,UT TYLER UNIVER,5,CHARTER,100 UNIVERSITY BLVD,PALESTINE,75801,4.0,18.0,12.0,5.0
212901101,ARP ISD,ARP ELEM.,5,INDEPENDENT,16438 COUNTY RD 294,ARP,75750-0070,13.0,77.0,49.0,30.0
212902102,BULLARD ISD,BULLARD INTERME,5,INDEPENDENT,218 SCHOOLHOUSE RD,BULLARD,75757,10.0,187.0,155.0,113.0
212903103,LINDALE ISD,E.J. MOSS INTER,5,INDEPENDENT,411 EAGLE SPIRIT DR,LINDALE,75771-3300,29.0,290.0,230.0,160.0
212904102,TROUP ISD,TROUP ELEM.,5,INDEPENDENT,201 E BRYANT ST,TROUP,75789-1346,13.0,83.0,60.0,34.0
212905101,TYLER ISD,T.J. AUSTIN ELE,5,INDEPENDENT,1105 W FRANKLIN,TYLER,75702,16.0,53.0,40.0,29.0
212905102,TYLER ISD,BELL ELEM.,5,INDEPENDENT,1409 HANKERSON ST,TYLER,75701-4521,9.0,53.0,41.0,21.0
212905103,TYLER ISD,BIRDWELL ELEM.,5,INDEPENDENT,2010 TALLEY AVE,TYLER,75701,5.0,86.0,58.0,41.0
212905104,TYLER ISD,BONNER ELEM.,5,INDEPENDENT,235 S SAUNDERS,TYLER,75702,3.0,53.0,41.0,27.0
212905106,TYLER ISD,CLARKSTON ELEM.,5,INDEPENDENT,2915 WILLIAMSBURG,TYLER,75701-6534,20.0,43.0,29.0,14.0
212905107,TYLER ISD,DIXIE ELEM.,5,INDEPENDENT,213 PATTON LN,TYLER,75704-9455,20.0,86.0,59.0,39.0
212905108,TYLER ISD,DOUGLAS ELEM.,5,INDEPENDENT,1525 N CARLYLE,TYLER,75702-3483,14.0,69.0,44.0,23.0
212905109,TYLER ISD,OWENS ELEM.,5,INDEPENDENT,11780 C R 168,TYLER,75703-9634,14.0,101.0,66.0,42.0
212905110,TYLER ISD,CALDWELL ARTS A,5,INDEPENDENT,331 S COLLEGE,TYLER,75702,5.0,74.0,54.0,31.0
212905111,TYLER ISD,GRIFFIN ELEM.,5,INDEPENDENT,2650 N BROADWAY AVE,TYLER,75702,17.0,63.0,41.0,27.0
212905112,TYLER ISD,JONES ELEM.,5,INDEPENDENT,3450 CHANDLER HWY,TYLER,75702,11.0,30.0,14.0,9.0
212905114,TYLER ISD,ORR ELEM.,5,INDEPENDENT,3350 PINE HAVEN RD,TYLER,75702,20.0,92.0,56.0,28.0
212905115,TYLER ISD,PEETE ELEM.,5,INDEPENDENT,1511 BELLWOOD DR,TYLER,75701-1210,15.0,30.0,14.0,9.0
212905116,TYLER ISD,RAMEY ELEM.,5,INDEPENDENT,2000 N FOREST,TYLER,75702-3959,12.0,64.0,43.0,25.0
212905117,TYLER ISD,RICE ELEM.,5,INDEPENDENT,5215 OLD BULLARD RD,TYLER,75703,21.0,88.0,49.0,26.0
212905119,TYLER ISD,WOODS ELEM.,5,INDEPENDENT,3131 FRY AVE,TYLER,75701,14.0,90.0,68.0,45.0
212905125,TYLER ISD,DR. BRYAN C. JA,5,INDEPENDENT,1900 BALSAM GAP LN,TYLER,75703,13.0,100.0,78.0,55.0
212906111,WHITEHOUSE ISD,GUS WINSTON CAI,5,INDEPENDENT,810 HWY 110 S,WHITEHOUSE,75791,3.0,89.0,78.0,65.0
212906112,WHITEHOUSE ISD,MOZELLE BROWN E,5,INDEPENDENT,14600 C R 2191,WHITEHOUSE,75791,9.0,82.0,58.0,36.0
212906113,WHITEHOUSE ISD,H.L. HIGGINS EL,5,INDEPENDENT,306 BASCOM RD,WHITEHOUSE,75791,2.0,74.0,65.0,48.0
212906114,WHITEHOUSE ISD,STANTON-SMITH E,5,INDEPENDENT,500 ZAVALA TRL,WHITEHOUSE,75791,2.0,78.0,74.0,66.0
212909101,CHAPEL HILL ISD,WISE ELEM. FINE,5,INDEPENDENT,10659 STATE HWY 64 E,TYLER,75707-9580,18.0,57.0,38.0,19.0
212909102,CHAPEL HILL ISD,JACKSON ELEM.,5,INDEPENDENT,16406 F M 2767,TYLER,75705-9748,14.0,57.0,33.0,14.0
212909103,CHAPEL HILL ISD,W.L. KISSAM ELE,5,INDEPENDENT,12800 STATE HWY 64 E,TYLER,75707-3317,48.0,57.0,32.0,17.0
212910101,WINONA ISD,WINONA ELEM.,5,INDEPENDENT,611 WILDCAT DR,WINONA,75792-0218,23.0,48.0,25.0,14.0
213801001,BRAZOS RIVER CH,BRAZOS RIVER CH,5,CHARTER,FM 200 AND FM 199,NEMO,76070,9.0,6.0,2.0,1.0
213901102,GLEN ROSE ISD,GLEN ROSE INTER,5,INDEPENDENT,201 ALLEN LN,GLEN ROSE,76043-2129,14.0,125.0,96.0,56.0
214901102,RIO GRANDE CITY,GRULLA ELEM.,5,INDEPENDENT,443 OLD MILITARY RD,GRULLA,78548-9999,27.0,64.0,27.0,11.0
214901103,RIO GRANDE CITY,LA UNION ELEM.,5,INDEPENDENT,6300 NE HWY 83,GARCIASVILLE,78547-9999,6.0,43.0,31.0,21.0
214901104,RIO GRANDE CITY,ALBERTO AND CEL,5,INDEPENDENT,1400 N LOPEZ ST,RIO GRANDE CITY,78582-2753,17.0,58.0,32.0,15.0
214901105,RIO GRANDE CITY,JOHN AND OLIVE,5,INDEPENDENT,2448 EMBASSY ST,RIO GRANDE CITY,78582,7.0,66.0,50.0,26.0
214901107,RIO GRANDE CITY,RINGGOLD ELEM.,5,INDEPENDENT,1 S FORT RINGGOLD,RIO GRANDE CITY,78582,4.0,62.0,39.0,20.0
214901108,RIO GRANDE CITY,ROQUE GUERRA JR,5,INDEPENDENT,1600 W MAIN ST,RIO GRANDE CITY,78582-3907,14.0,99.0,67.0,36.0
214901110,RIO GRANDE CITY,ALTO BONITO ELE,5,INDEPENDENT,753 FM 2360,RIO GRANDE CITY,78582,16.0,63.0,41.0,18.0
214901111,RIO GRANDE CITY,GENERAL RICARDO,5,INDEPENDENT,2801 W EISENHOWER ST,RIO GRANDE CITY,78582,6.0,99.0,79.0,54.0
214901112,RIO GRANDE CITY,DR. MARIO E. RA,5,INDEPENDENT,8001 TROPHY RD,RIO GRANDE CITY,78582,11.0,64.0,29.0,19.0
214902101,SAN ISIDRO ISD,SAN ISIDRO ELEM,5,INDEPENDENT,5175 FM 1017,SAN ISIDRO,78588,2.0,18.0,13.0,7.0
214903103,ROMA ISD,FLORENCE J. SCO,5,INDEPENDENT,800 PFC ANGEL J MORENO ST,ROMA,78584-0187,2.0,73.0,68.0,61.0
214903105,ROMA ISD,R.T. BARRERA EL,5,INDEPENDENT,126 N FM 649,ROMA,78584-0187,1.0,49.0,41.0,28.0
214903106,ROMA ISD,EMMA VERA ELEM.,5,INDEPENDENT,2015 N US HWY 83,ROMA,78584-0187,0.0,62.0,57.0,42.0
214903108,ROMA ISD,ROEL A. AND CEL,5,INDEPENDENT,310 S GATE RD,ROMA,78584,2.0,73.0,62.0,47.0
214903109,ROMA ISD,VETERANS MEMORI,5,INDEPENDENT,4772 E HWY 83,ROMA,78584,6.0,68.0,42.0,17.0
214903110,ROMA ISD,DELIA GONZALEZ,5,INDEPENDENT,4186 W US HWY 83,RIO GRANDE CITY,78582,2.0,70.0,47.0,32.0
215901103,BRECKENRIDGE IS,SOUTH ELEM.,5,INDEPENDENT,1001 W ELLIOTT ST,BRECKENRIDGE,76424-4204,47.0,73.0,35.0,21.0
216901001,STERLING CITY I,STERLING CITY S,5,INDEPENDENT,700 7TH ST,STERLING CITY,76951-0786,0.0,20.0,16.0,9.0
217901101,ASPERMONT ISD,ASPERMONT ELEM.,5,INDEPENDENT,528 E SEVENTH ST,ASPERMONT,79502-0549,5.0,10.0,5.0,4.0
218901103,SONORA ISD,SONORA ELEM.,5,INDEPENDENT,907 S CONCHO AVE,SONORA,76950,5.0,51.0,29.0,15.0
219901101,HAPPY ISD,HAPPY ELEM.,5,INDEPENDENT,400 N W 3RD,HAPPY,79042-0458,0.0,19.0,15.0,6.0
219903102,TULIA ISD,W.V. SWINBURN E,5,,,,,27.0,47.0,22.0,13.0
219905101,KRESS ISD,KRESS ELEM.,5,INDEPENDENT,200 E 5TH,KRESS,79052,6.0,20.0,11.0,4.0
220801001,TREETOPS SCHOOL,TREETOPS SCHOOL,5,CHARTER,12500 S PIPELINE RD,EULESS,76040,8.0,33.0,21.0,9.0
220802102,ARLINGTON CLASS,ARLINGTON CLASS,5,CHARTER,2800 B W ARKANSAS LN,ARLINGTON,76016,11.0,164.0,121.0,83.0
220809101,FORT WORTH ACAD,FORT WORTH ACAD,5,CHARTER,3901 S HULEN ST,FORT WORTH,76109,4.0,54.0,30.0,16.0
220810001,WESTLAKE ACADEM,WESTLAKE ACAD.,5,CHARTER,2600 J T OTTINGER RD,WESTLAKE,76262,0.0,65.0,62.0,57.0
220811101,EAST FORT WORTH,EAST FORT WORTH,5,CHARTER,501 OAKLAND BLVD,FORT WORTH,76103,10.0,34.0,14.0,6.0
220814101,TEXAS SCHOOL OF,TEXAS SCHOOL OF,5,CHARTER,6025 VILLAGE PKWY,EDGECLIFF VILLAGE,76134,5.0,54.0,43.0,28.0
220815101,CHAPEL HILL ACA,CHAPEL HILL ACA,5,CHARTER,4640 SYCAMORE SCHOOL RD,FORT WORTH,76133,8.0,68.0,43.0,26.0
220817001,NEWMAN INTERNAT,NEWMAN INTERNAT,5,CHARTER,2011 S FIELDER RD,ARLINGTON,76013,15.0,60.0,40.0,19.0
220817002,NEWMAN INTERNAT,NEWMAN INTERNAT,5,CHARTER,1114 W FM 1382,CEDAR HILL,75104,35.0,56.0,24.0,13.0
220817003,NEWMAN INTERNAT,NEWMAN INTERNAT,5,CHARTER,210 W PARK ROW DR,ARLINGTON,76010,2.0,33.0,22.0,15.0
220817004,NEWMAN INTERNAT,NEWMAN INTERNAT,5,CHARTER,6801 MEADOWBROOK DR,FORT WORTH,76112,3.0,13.0,6.0,3.0
220817005,NEWMAN INTERNAT,NEWMAN INTERNAT,5,CHARTER,1201 SH 360,MANSFIELD,76063,2.0,34.0,27.0,14.0
220819001,HIGH POINT ACAD,HIGH POINT ACAD,5,CHARTER,1256 JIM WRIGHT FWY,WHITE SETTLEMENT,76108,21.0,75.0,31.0,10.0
220901101,ARLINGTON ISD,BERRY ELEM.,5,INDEPENDENT,1800 JOYCE ST,ARLINGTON,76010-2199,34.0,44.0,19.0,8.0
220901102,ARLINGTON ISD,BLANTON ELEM.,5,INDEPENDENT,1900 S COLLINS ST,ARLINGTON,76010-5798,21.0,52.0,31.0,12.0
220901103,ARLINGTON ISD,CROW ELEM.,5,INDEPENDENT,1201 COKE DR,ARLINGTON,76010-1999,17.0,48.0,14.0,8.0
220901104,ARLINGTON ISD,DUFF ELEM.,5,INDEPENDENT,3100 LYNNWOOD DR,ARLINGTON,76013-2099,8.0,115.0,92.0,60.0
220901109,ARLINGTON ISD,RANKIN ELEM.,5,INDEPENDENT,1900 OLEANDER DR,ARLINGTON,76010-5999,32.0,54.0,22.0,7.0
220901110,ARLINGTON ISD,ROARK ELEM.,5,INDEPENDENT,2401 ROBERTS CIR,ARLINGTON,76010-2299,27.0,35.0,15.0,6.0
220901111,ARLINGTON ISD,SOUTH DAVIS ELE,5,INDEPENDENT,2001 S DAVIS DR,ARLINGTON,76013-5011,18.0,66.0,32.0,19.0
220901112,ARLINGTON ISD,SPEER ELEM.,5,INDEPENDENT,811 FULLER ST,ARLINGTON,76012-4785,54.0,58.0,26.0,16.0
220901113,ARLINGTON ISD,SWIFT ELEM.,5,INDEPENDENT,1101 S FIELDER RD,ARLINGTON,76013-2395,13.0,51.0,34.0,20.0
220901114,ARLINGTON ISD,THORNTON ELEM.,5,INDEPENDENT,2301 E PARK ROW,ARLINGTON,76010-4896,30.0,69.0,36.0,12.0
220901116,ARLINGTON ISD,WIMBISH ELEM.,5,,,,,17.0,53.0,26.0,9.0
220901117,ARLINGTON ISD,HILL ELEM.,5,INDEPENDENT,2020 W TUCKER BLVD,ARLINGTON,76013-4811,9.0,84.0,51.0,31.0
220901119,ARLINGTON ISD,GOODMAN ELEM.,5,INDEPENDENT,1400 REBECCA LN,ARLINGTON,76014-1456,28.0,58.0,34.0,23.0
220901120,ARLINGTON ISD,POPE ELEM.,5,INDEPENDENT,901 CHESTNUT DR,ARLINGTON,76012-2999,15.0,72.0,39.0,20.0
220901121,ARLINGTON ISD,JOHNS ELEM.,5,INDEPENDENT,1900 SHERRY ST,ARLINGTON,76010-4806,19.0,53.0,29.0,19.0
220901123,ARLINGTON ISD,SHORT ELEM.,5,INDEPENDENT,2000 CALIFORNIA LN,ARLINGTON,76015-1101,30.0,39.0,16.0,8.0
220901124,ARLINGTON ISD,AMOS ELEM.,5,INDEPENDENT,3100 DANIEL DR,ARLINGTON,76014-2499,5.0,37.0,27.0,15.0
220901125,ARLINGTON ISD,DUNN ELEM.,5,INDEPENDENT,2201 WOODSIDE DR,ARLINGTON,76013-5499,12.0,60.0,41.0,21.0
220901126,ARLINGTON ISD,FOSTER ELEM.,5,INDEPENDENT,1025 HIGH POINT RD,ARLINGTON,76015-3599,24.0,48.0,23.0,10.0
220901128,ARLINGTON ISD,KEY ELEM.,5,INDEPENDENT,3621 ROOSEVELT DR,ARLINGTON,76016-6018,13.0,60.0,41.0,27.0
220901129,ARLINGTON ISD,BUTLER ELEM.,5,INDEPENDENT,2121 MARGARET DR,ARLINGTON,76012-1899,4.0,77.0,66.0,55.0
220901130,ARLINGTON ISD,DITTO ELEM.,5,INDEPENDENT,3001 QUAIL LN,ARLINGTON,76016-2112,4.0,107.0,89.0,66.0
220901131,ARLINGTON ISD,MORTON ELEM.,5,INDEPENDENT,2900 BARRINGTON PL,ARLINGTON,76014-2128,32.0,44.0,21.0,11.0
220901132,ARLINGTON ISD,ATHERTON ELEM.,5,INDEPENDENT,2101 OVERBROOK DR,ARLINGTON,76014-2639,21.0,56.0,31.0,18.0
220901133,ARLINGTON ISD,WOOD ELEM.,5,INDEPENDENT,3300 PIMLICO DR,ARLINGTON,76017-2499,18.0,87.0,65.0,44.0
220901134,ARLINGTON ISD,SHERROD ELEM.,5,INDEPENDENT,2626 LINCOLN DR,ARLINGTON,76006-3606,31.0,52.0,25.0,8.0
220901135,ARLINGTON ISD,MILLER ELEM.,5,INDEPENDENT,6401 W PLEASANT RDG RD,ARLINGTON,76016-4314,29.0,59.0,27.0,17.0
220901136,ARLINGTON ISD,FITZGERALD ELEM,5,INDEPENDENT,5201 CREEK VALLEY DR,ARLINGTON,76018-4935,4.0,67.0,55.0,43.0
220901137,ARLINGTON ISD,COREY FINE ARTS,5,INDEPENDENT,5200 KELLY ELLIOTT RD,ARLINGTON,76017-2221,5.0,52.0,32.0,19.0
220901140,ARLINGTON ISD,STARRETT ELEM.,5,INDEPENDENT,2675 FAIRMONT DR,GRAND PRAIRIE,75052-4009,18.0,64.0,32.0,18.0
220901141,ARLINGTON ISD,BEBENSEE ELEM.,5,INDEPENDENT,5900 INKS LK DR,ARLINGTON,76018-2251,14.0,69.0,39.0,21.0
220901142,ARLINGTON ISD,ELLIS ELEM.,5,INDEPENDENT,2601 SHADOW RDG DR,ARLINGTON,76006-2636,29.0,57.0,25.0,9.0
220901143,ARLINGTON ISD,FARRELL ELEM.,5,INDEPENDENT,3410 PALADIUM DR,GRAND PRAIRIE,75052-8026,13.0,82.0,60.0,38.0
220901144,ARLINGTON ISD,MOORE ELEM.,5,INDEPENDENT,5500 PARK SPRINGS BLVD,ARLINGTON,76017-4100,35.0,113.0,73.0,38.0
220901145,ARLINGTON ISD,WILLIAMS ELEM.,5,INDEPENDENT,4915 RED BIRCH DR,ARLINGTON,76018-1425,14.0,83.0,53.0,39.0
220901146,ARLINGTON ISD,LITTLE ELEM.,5,INDEPENDENT,3721 LITTLE RD,ARLINGTON,76016-5698,13.0,105.0,73.0,47.0
220901147,ARLINGTON ISD,BRYANT ELEM.,5,INDEPENDENT,2201 HAVENWOOD DR,ARLINGTON,76018-2546,16.0,68.0,39.0,25.0
220901148,ARLINGTON ISD,WEBB ELEM.,5,INDEPENDENT,1200 N COOPER ST,ARLINGTON,76011-5599,18.0,59.0,25.0,12.0
220901149,ARLINGTON ISD,ASHWORTH ELEM.,5,INDEPENDENT,6700 SILO RD,ARLINGTON,76002,7.0,76.0,55.0,36.0
220901150,ARLINGTON ISD,CROUCH ELEM.,5,INDEPENDENT,2810 PRAIRIE HILL LN,GRAND PRAIRIE,75051-9999,29.0,70.0,43.0,24.0
220901151,ARLINGTON ISD,LARSON ELEM.,5,INDEPENDENT,2620 AVE K,GRAND PRAIRIE,75050-2639,38.0,52.0,27.0,13.0
220901152,ARLINGTON ISD,WEST ELEM.,5,INDEPENDENT,2911 KINGSWOOD BLVD,GRAND PRAIRIE,75052-4504,8.0,82.0,55.0,42.0
220901153,ARLINGTON ISD,HALE ELEM.,5,INDEPENDENT,2400 E MAYFIELD RD,ARLINGTON,76014-2705,23.0,44.0,19.0,9.0
220901154,ARLINGTON ISD,PEARCY ELEM.,5,INDEPENDENT,601 E HARRIS RD,ARLINGTON,76002,1.0,69.0,65.0,38.0
220901155,ARLINGTON ISD,BURGIN ELEM.,5,INDEPENDENT,401 E MAYFIELD RD,ARLINGTON,76014,16.0,54.0,29.0,13.0
220901157,ARLINGTON ISD,KNOX ELEM.,5,INDEPENDENT,2315 STONEGATE ST,ARLINGTON,76010,16.0,49.0,24.0,15.0
220901158,ARLINGTON ISD,BECKHAM ELEM.,5,INDEPENDENT,1700 SOUTHEAST PKWY,ARLINGTON,76002,10.0,71.0,48.0,24.0
220901159,ARLINGTON ISD,REMYNSE ELEM.,5,INDEPENDENT,2720 FALL DR,GRAND PRAIRIE,75052,14.0,46.0,27.0,14.0
220901160,ARLINGTON ISD,ANDERSON ELEM.,5,INDEPENDENT,1101 TIMBERLAKE DR,ARLINGTON,76010,20.0,56.0,36.0,14.0
220901161,ARLINGTON ISD,ADAMS ELEM.,5,INDEPENDENT,2220 SHERRY ST,ARLINGTON,76010,21.0,85.0,56.0,43.0
220901162,ARLINGTON ISD,PATRICK ELEM.,5,INDEPENDENT,755 TIMBER OAKS,GRAND PRAIRIE,75051,32.0,54.0,28.0,13.0
220901163,ARLINGTON ISD,JONES FINE ARTS,5,INDEPENDENT,2001 VAN BUREN DR,ARLINGTON,76011,18.0,49.0,28.0,17.0
220901164,ARLINGTON ISD,PEACH ELEM.,5,INDEPENDENT,2020 BAIRD FARM RD,ARLINGTON,76006,33.0,75.0,39.0,22.0
220901165,ARLINGTON ISD,MCNUTT ELEM.,5,INDEPENDENT,3609 S CENTER ST,ARLINGTON,76014,23.0,89.0,55.0,22.0
220902101,BIRDVILLE ISD,BIRDVILLE ELEM.,5,INDEPENDENT,3111 CARSON ST,HALTOM CITY,76117-4107,5.0,50.0,32.0,24.0
220902102,BIRDVILLE ISD,DAVID E. SMITH,5,INDEPENDENT,3701 N HALTOM RD,HALTOM CITY,76117-2343,10.0,55.0,34.0,20.0
220902103,BIRDVILLE ISD,W.T. FRANCISCO,5,INDEPENDENT,3701 LAYTON AVE,HALTOM CITY,76117-2738,5.0,51.0,28.0,14.0
220902104,BIRDVILLE ISD,JACK C. BINION,5,INDEPENDENT,7400 GLENVIEW DR,RICHLAND HILLS,76118-5299,32.0,88.0,44.0,29.0
220902105,BIRDVILLE ISD,ALLIENE MULLEND,5,INDEPENDENT,4100 FLORY ST,NORTH RICHLAND HILLS,76180-8532,5.0,49.0,36.0,29.0
220902106,BIRDVILLE ISD,RICHLAND ELEM.,5,INDEPENDENT,3250 SCRUGGS PARK DR,RICHLAND HILLS,76118-6399,2.0,41.0,23.0,15.0
220902107,BIRDVILLE ISD,SMITHFIELD ELEM,5,INDEPENDENT,6724 SMITHFIELD RD,NORTH RICHLAND HILLS,76180-3999,4.0,69.0,52.0,31.0
220902108,BIRDVILLE ISD,SNOW HEIGHTS EL,5,INDEPENDENT,4801 VANCE RD,NORTH RICHLAND HILLS,76180-7969,2.0,61.0,50.0,34.0
220902109,BIRDVILLE ISD,MAJOR CHENEY EL,5,INDEPENDENT,2600 SOLANA ST,HALTOM CITY,76117-4894,2.0,54.0,41.0,28.0
220902110,BIRDVILLE ISD,O.H. STOWE ELEM,5,INDEPENDENT,4201 RITA LN,HALTOM CITY,76117-1928,6.0,104.0,61.0,38.0
220902111,BIRDVILLE ISD,WEST BIRDVILLE,5,INDEPENDENT,3001 LAYTON AVE,HALTOM CITY,76117-3999,18.0,98.0,53.0,25.0
220902112,BIRDVILLE ISD,HOLIDAY HEIGHTS,5,INDEPENDENT,5221 SUSAN LEE LN,NORTH RICHLAND HILLS,76180-6898,4.0,76.0,55.0,26.0
220902113,BIRDVILLE ISD,WATAUGA ELEM.,5,INDEPENDENT,5937 WHITLEY RD,WATAUGA,76148-3532,28.0,108.0,63.0,37.0
220902114,BIRDVILLE ISD,GRACE E. HARDEM,5,INDEPENDENT,6100 WHISPERING LN,WATAUGA,76148-2899,1.0,91.0,79.0,65.0
220902115,BIRDVILLE ISD,W.A. PORTER ELE,5,INDEPENDENT,2750 PRESTONDALE DR,HURST,76053-2399,4.0,78.0,67.0,47.0
220902116,BIRDVILLE ISD,ACAD. AT CARRIE,5,INDEPENDENT,8200 O'BRIAN WAY,NORTH RICHLAND HILLS,76180-5598,8.0,83.0,59.0,34.0
220902117,BIRDVILLE ISD,FOSTER VILLAGE,5,INDEPENDENT,6800 SPRINGDALE LN,NORTH RICHLAND HILLS,76180-3301,17.0,69.0,50.0,26.0
220902118,BIRDVILLE ISD,NORTH RIDGE ELE,5,INDEPENDENT,7331 HOLIDAY LN,NORTH RICHLAND HILLS,76180-2818,6.0,76.0,55.0,38.0
220902119,BIRDVILLE ISD,JOHN D. SPICER,5,INDEPENDENT,4300 ESTES PARK RD,HALTOM CITY,76137-2106,6.0,76.0,62.0,44.0
220902120,BIRDVILLE ISD,GREEN VALLEY EL,5,INDEPENDENT,7900 SMITHFIELD RD,NORTH RICHLAND HILLS,76180-1804,1.0,78.0,68.0,56.0
220902121,BIRDVILLE ISD,WALKER CREEK EL,5,INDEPENDENT,8780 BRIDGE ST,NORTH RICHLAND HILLS,76180,12.0,87.0,61.0,40.0
220904105,EVERMAN ISD,DAN POWELL INTE,5,INDEPENDENT,8875 OAK GROVE RD,EVERMAN,76140,141.0,291.0,147.0,76.0
220905063,FORT WORTH ISD,COMO MONTESSORI,5,INDEPENDENT,4001 LITTLEPAGE ST,FORT WORTH,76107-6930,18.0,22.0,12.0,3.0
220905101,FORT WORTH ISD,ALICE CARLSON A,5,INDEPENDENT,3320 W CANTEY ST,FORT WORTH,76109-3091,7.0,51.0,34.0,20.0
220905103,FORT WORTH ISD,BENBROOK ELEM.,5,INDEPENDENT,800 MERCEDES ST,FORT WORTH,76126-2594,8.0,78.0,46.0,28.0
220905105,FORT WORTH ISD,WEST HANDLEY EL,5,INDEPENDENT,2749 PUTNAM,FORT WORTH,76112-3091,44.0,34.0,14.0,11.0
220905107,FORT WORTH ISD,BURTON HILL ELE,5,INDEPENDENT,519 BURTON HILL RD,FORT WORTH,76107-4242,7.0,57.0,42.0,31.0
220905110,FORT WORTH ISD,CARROLL PEAK EL,5,INDEPENDENT,1201 E JEFFERSON AVE,FORT WORTH,76104-5775,34.0,42.0,19.0,8.0
